"DateTime","Average","Sweet Water Foundation A","Sweet Water Foundation B","BurrRidge01 A","BurrRidge01 B"
"2026-07-16 07:00:00",,268,275,208,242
"2026-07-16 08:00:00",,265,273,214,249
"2026-07-16 09:00:00",,257,268,214,251
"2026-07-16 10:00:00",,233,250,199,234
"2026-07-16 11:00:00",,248,263,185,209
"2026-07-16 12:00:00",,267,282,171,188
"2026-07-16 13:00:00",,314,344,149,161
"2026-07-16 14:00:00",,342,375,145,160
"2026-07-16 15:00:00",,371,404,243,284
"2026-07-16 16:00:00",,352,382,268,330
"2026-07-16 17:00:00",,388,415,245,288
"2026-07-16 18:00:00",,369,393,245,287
"2026-07-16 19:00:00",,411,424,307,415
"2026-07-16 20:00:00",,475,477,388,507
"2026-07-16 21:00:00",,503,501,410,532
"2026-07-16 22:00:00",,498,492,407,530
"2026-07-16 23:00:00",,449,448,411,532
"2026-07-17 00:00:00",,386,391,374,492
"2026-07-17 01:00:00",,338,346,301,408
"2026-07-17 02:00:00",,315,322,276,351
"2026-07-17 03:00:00",,304,313,271,344
"2026-07-17 04:00:00",,304,309,270,336
"2026-07-17 05:00:00",,309,315,269,335
"2026-07-17 06:00:00",,303,308,271,342
"2026-07-17 07:00:00",,286,292,260,312
"2026-07-17 08:00:00",,258,265,233,273
"2026-07-17 09:00:00",,208,216,195,226
"2026-07-17 10:00:00",,187,193,191,217
"2026-07-17 11:00:00",,158,162,154,166
"2026-07-17 12:00:00",,107,105,115,137
"2026-07-17 13:00:00",,94,93,95,112
"2026-07-17 14:00:00",,91,93,91,105
"2026-07-17 15:00:00",,80,85,66,75
"2026-07-17 16:00:00",,63,67,83,94
"2026-07-17 17:00:00",,75,81,72,82
"2026-07-17 18:00:00",,69,75,59,68
"2026-07-17 19:00:00",,61,66,60,68
"2026-07-17 20:00:00",,61,65,59,68
"2026-07-17 21:00:00",,63,68,60,68
"2026-07-17 22:00:00",,70,76,60,68
"2026-07-17 23:00:00",,70,76,62,70
"2026-07-18 00:00:00",,68,73,62,71
"2026-07-18 01:00:00",,66,71,61,68
"2026-07-18 02:00:00",,65,70,59,66
"2026-07-18 03:00:00",,63,68,54,60
"2026-07-18 04:00:00",,61,65,51,57
"2026-07-18 05:00:00",,56,60,45,52
"2026-07-18 06:00:00",,52,55,40,48
"2026-07-18 07:00:00",,46,52,34,43
"2026-07-18 08:00:00",,36,42,31,37
"2026-07-18 09:00:00",,29,36,30,36
"2026-07-18 10:00:00",,26,31,28,35
"2026-07-18 11:00:00",,24,29,32,38
"2026-07-18 12:00:00",,30,35,34,43
"2026-07-18 13:00:00",,35,43,47,54
"2026-07-18 14:00:00",,47,53,52,57
"2026-07-18 15:00:00",,54,57,60,68
"2026-07-18 16:00:00",,54,58,60,68
"2026-07-18 17:00:00",,99,103,67,76
"2026-07-18 18:00:00",,118,122,97,115
"2026-07-18 19:00:00",,139,148,124,149
"2026-07-18 20:00:00",,155,158,139,158
"2026-07-18 21:00:00",,168,171,153,165
