epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
26,99.3052,0.43019,0.83544,1,0.38714,0.00146071,0.00146071,0.00146071
27,102.759,0.40853,0.85443,1,0.36888,0.00145246,0.00145246,0.00145246
28,106.33,0.41154,0.8481,1,0.38427,0.00144421,0.00144421,0.00144421
29,109.836,0.44233,0.86076,1,0.31672,0.00143595,0.00143595,0.00143595
30,113.403,0.40219,0.86076,1,0.32864,0.0014277,0.0014277,0.0014277
31,116.978,0.41675,0.86076,1,0.30914,0.00141945,0.00141945,0.00141945
32,120.557,0.39829,0.86076,1,0.34041,0.0014112,0.0014112,0.0014112
33,123.61,0.37484,0.86076,1,0.30073,0.00140295,0.00140295,0.00140295
34,127.859,0.40767,0.82911,1,0.36222,0.0013947,0.0013947,0.0013947
35,132.05,0.43232,0.85443,1,0.38852,0.00138644,0.00138644,0.00138644
36,136.2,0.40638,0.89873,1,0.31064,0.00137819,0.00137819,0.00137819
37,140.375,0.42996,0.79747,1,0.40457,0.00136994,0.00136994,0.00136994
38,144.46,0.41603,0.86709,1,0.3418,0.00136169,0.00136169,0.00136169
39,148.517,0.3576,0.82278,1,0.32799,0.00135344,0.00135344,0.00135344
40,151.916,0.40619,0.8481,1,0.36328,0.00134519,0.00134519,0.00134519
41,155.453,0.34814,0.83544,1,0.39184,0.00133693,0.00133693,0.00133693
42,158.952,0.32489,0.85443,1,0.32442,0.00132868,0.00132868,0.00132868
43,162.375,0.31606,0.82911,1,0.38674,0.00132043,0.00132043,0.00132043
44,165.717,0.27757,0.87342,1,0.33746,0.00131218,0.00131218,0.00131218
45,169.192,0.37433,0.88608,1,0.27965,0.00130393,0.00130393,0.00130393
46,172.729,0.35503,0.84177,1,0.38541,0.00129568,0.00129568,0.00129568
47,176.283,0.37344,0.82911,1,0.36582,0.00128742,0.00128742,0.00128742
48,179.592,0.34127,0.87342,1,0.37762,0.00127917,0.00127917,0.00127917
49,183.764,0.3832,0.81013,1,0.43036,0.00127092,0.00127092,0.00127092
50,187.913,0.3939,0.83544,1,0.38645,0.00126267,0.00126267,0.00126267
51,192.119,0.30079,0.86709,1,0.36127,0.00125442,0.00125442,0.00125442
52,196.22,0.29243,0.88608,1,0.33956,0.00124617,0.00124617,0.00124617
53,200.322,0.38162,0.8481,1,0.35566,0.00123791,0.00123791,0.00123791
54,204.279,0.3491,0.82278,1,0.39156,0.00122966,0.00122966,0.00122966
55,207.893,0.31705,0.87342,1,0.34995,0.00122141,0.00122141,0.00122141
56,211.362,0.30079,0.83544,1,0.54219,0.00121316,0.00121316,0.00121316
57,214.897,0.32249,0.85443,1,0.32125,0.00120491,0.00120491,0.00120491
58,218.472,0.29739,0.87975,1,0.44572,0.00119666,0.00119666,0.00119666
59,222.007,0.32252,0.8481,1,0.35331,0.0011884,0.0011884,0.0011884
60,225.553,0.32954,0.86076,1,0.28157,0.00118015,0.00118015,0.00118015
61,229.127,0.2827,0.82911,1,0.38129,0.0011719,0.0011719,0.0011719
62,232.714,0.27872,0.89873,1,0.3203,0.00116365,0.00116365,0.00116365
63,236.334,0.25541,0.84177,1,0.4163,0.0011554,0.0011554,0.0011554
64,239.946,0.27688,0.91139,1,0.35988,0.00114715,0.00114715,0.00114715
65,243.647,0.28401,0.90506,1,0.32023,0.00113889,0.00113889,0.00113889
66,246.56,0.27127,0.89241,1,0.32755,0.00113064,0.00113064,0.00113064
67,250.674,0.302,0.89241,1,0.32445,0.00112239,0.00112239,0.00112239
68,254.919,0.23244,0.89241,1,0.27929,0.00111414,0.00111414,0.00111414
69,259.068,0.24614,0.87342,1,0.34018,0.00110589,0.00110589,0.00110589
70,263.214,0.26553,0.84177,1,0.38645,0.00109764,0.00109764,0.00109764
71,267.355,0.2404,0.8481,1,0.3668,0.00108938,0.00108938,0.00108938
72,271.409,0.2403,0.89873,1,0.34214,0.00108113,0.00108113,0.00108113
73,274.987,0.29241,0.87342,1,0.41546,0.00107288,0.00107288,0.00107288
74,278.545,0.26398,0.91139,1,0.32243,0.00106463,0.00106463,0.00106463
75,282.129,0.25382,0.88608,1,0.296,0.00105638,0.00105638,0.00105638
76,285.645,0.24678,0.89241,1,0.29365,0.00104813,0.00104813,0.00104813
